bullet_id,category_or_intent,live_type,text,realistic_yes_no,wording_ok_yes_no,scoring_boundary_ok_yes_no,risk_or_revision,reviewer,reviewed_at
AMB-NOI-EN-006,room_noise,entertainment,来了,,,,,,
AMB-NOI-EN-007,room_noise,entertainment,听得到,,,,,,
AMB-NOI-EN-008,room_noise,entertainment,画面刚刚糊了一下,,,,,,
AMB-NOI-EN-009,room_noise,entertainment,弹幕突然变快了,,,,,,
AMB-NOI-EN-010,room_noise,entertainment,先挂一会儿,,,,,,
AMB-NOI-KN-005,room_noise,knowledge,懂了,,,,,,
AMB-NOI-KN-006,room_noise,knowledge,有点没跟上,,,,,,
AMB-NOI-KN-007,room_noise,knowledge,这段要记一下,,,,,,
AMB-NOI-KN-008,room_noise,knowledge,声音有点忽大忽小,,,,,,
AMB-NOI-KN-009,room_noise,knowledge,我这边刚才卡住了,,,,,,
AMB-NOI-KN-010,room_noise,knowledge,先码住,,,,,,
